#key	name	year	genre	developer	players
Earthworm Jim (World) (Evercade)	Earthworm Jim	1994	Platform	Shiny Entertainment	1
Earthworm Jim 2 (USA)	Earthworm Jim 2	1995	Platform	Playmates Interactive	1
Ecco - The Tides of Time (USA)	Ecco : The Tides of Time	1994	Adventure	Novotrade	1
Ecco Jr. (USA, Australia)	Ecco Jr.	1995	Adventure	Novotrade	1
Ecco the Dolphin (USA, Europe, Korea) (En)	Ecco the Dolphin	1992	Adventure	Novotrade	1
El.Viento (World) (Evercade)	El. Viento	1991	Platform/Platform / Run & Jump	Wolf Team	1
Elemental Master (USA)	Elemental Master	1993	Shoot'em Up / Vertical/Shoot'em Up	Technosoft	1
Eliminate Down (World) (Retro-Bit)	Eliminate Down	1993	Shoot'em Up	Aprinet	1
Elite (Europe) (Demo 1) (Game)	ZZZ(notgame):#NONGAME			Kaneda	
Elitserien 95 (Sweden)	NHL 95	1994	Sports / Hockey/Sports	High Score Productions	1-4
Elitserien 96 (Sweden)	NHL 96	1995	Sports / Hockey/Sports	High Score Productions	1-4
ESPN Baseball Tonight (USA)	ESPN Baseball Tonight	1995	Sports / Baseball/Sports	Park Place Productions	1-2
ESPN National Hockey Night (USA)	ESPN National Hockey Night	1994	Sports / Hockey/Sports	Park Place Productions	1-4
ESPN Speed World (USA)	ESPN Speed World	1994	Racing, Driving	Park Place Productions	1-2
ESPN Sunday Night NFL (USA)	ESPN Sunday Night NFL	1994	Sports / Football (American)/Sports	Sony Imagesoft	1-2
Eternal Champions (USA)	Eternal Champions	1993	Fighting / Versus/Fighting	SEGA	1-2
